 Count  Overhead File                                                                                                      Line Function
     8         0 @Base/logging.jl                                                                                           322 macro expansion
     3         0 @Base/multidimensional.jl                                                                                  373 __inc
   143         0 @Base/multidimensional.jl                                                                                  743 _getindex
     1         1 @Base/multidimensional.jl                                                                                  752 _unsafe_getindex(::IndexLinear, ::BitArray{2}, ::Base.Slice{Base.OneTo{Int64}}, ::Int64)
    92         0 @Base/multidimensional.jl                                                                                  755 _unsafe_getindex(::IndexLinear, ::BitArray{2}, ::Base.Slice{Base.OneTo{Int64}}, ::Int64)
    50         0 @Base/multidimensional.jl                                                                                  757 _unsafe_getindex(::IndexLinear, ::BitArray{2}, ::Base.Slice{Base.OneTo{Int64}}, ::Int64)
    50         0 @Base/multidimensional.jl                                                                                 1114 _unsafe_getindex!
     3         3 @Base/multidimensional.jl                                                                                    ? copyto_unaliased!(::IndexCartesian, ::SubArray{Union{Missing, UInt8},2,Array{Union{Missing, UInt8},2},Tuple{Array{Union{Nothing, Int64},1},Base.Slice{Base.OneTo{Int64}}},false}, ::IndexLinear, ::Array{Union{Missing, UInt8},2})
    74         0 @Base/multidimensional.jl                                                                                  557 getindex
     2         2 @Base/multidimensional.jl                                                                                  349 iterate
     3         0 @Base/multidimensional.jl                                                                                  354 iterate
     6         6 @Base/multidimensional.jl                                                                                  355 iterate
     2         0 @Base/multidimensional.jl                                                                                 1138 macro expansion
    48         0 @Base/multidimensional.jl                                                                                 1139 macro expansion
    48         0 @Base/multidimensional.jl                                                                                 1143 macro expansion
     6         0 none                                                                                                         ? (::GeneticVariation.VCF.var"#2#3"{GeneticVariation.VCF.Record})(::UnitRange{Int64})
     1         0 none                                                                                                         ? (::GeneticVariation.VCF.var"#4#5"{GeneticVariation.VCF.Record})(::UnitRange{Int64})
     1         0 none                                                                                                         ? #43
   339         0 none                                                                                                         ? #55
    69         0 none                                                                                                         ? #56
     1         0 none                                                                                                         ? #9
     3         0 @Base/number.jl                                                                                            133 abs2
   531         0 @Base/number.jl                                                                                              7 convert
    39         0 @Base/operators.jl                                                                                         202 !=
   703         0 @Base/operators.jl                                                                                         538 +
     2         2 @Base/operators.jl                                                                                           ? ==
     2         2 @Base/operators.jl                                                                                          83 ==
  3920         0 @Base/operators.jl                                                                                         303 >
     5         0 @Base/operators.jl                                                                                         350 >=
     3         0 @Base/operators.jl                                                                                        1058 in
     3         3 @Base/operators.jl                                                                                        1061 in
   107         0 @Base/operators.jl                                                                                         355 isless
   107         0 @Base/ordering.jl                                                                                           57 lt
     1         1 @Base/pair.jl                                                                                               12 Pair
     2         0 @Base/parse.jl                                                                                             238 parse(::Type{Int64}, ::String; base::Nothing)
     2         0 @Base/parse.jl                                                                                             238 parse
     1         0 @Base/parse.jl                                                                                             127 tryparse_internal(::Type{Int64}, ::String, ::Int64, ::Int64, ::Int64, ::Bool)
     1         0 @Base/parse.jl                                                                                             136 tryparse_internal(::Type{Int64}, ::String, ::Int64, ::Int64, ::Int64, ::Bool)
     2         2 @Base/pointer.jl                                                                                           159 +
    42        42 @Base/pointer.jl                                                                                           105 unsafe_load
   153         0 @Base/promotion.jl                                                                                         312 *
   278         0 @Base/promotion.jl                                                                                         348 ==
  5905      5905 @Base/promotion.jl                                                                                         398 ==
    24         0 @Base/promotion.jl                                                                                         259 _promote
     3         3 @Base/promotion.jl                                                                                           ? haplopair!(::Array{Int32,1}, ::Array{Int32,1}, ::Array{Float32,1}, ::SubArray{Float32,2,Array{Float32,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false}, ::SubArray{Float32,2,Array{Float32,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true})
   131       130 @Base/promotion.jl                                                                                         409 max
    26         0 @Base/promotion.jl                                                                                         359 min
     3         2 @Base/promotion.jl                                                                                         410 min
    24         0 @Base/promotion.jl                                                                                         282 promote
     4         0 @Base/range.jl                                                                                              91 #range#43
     4         0 @Base/range.jl                                                                                               5 Colon
   130         0 @Base/range.jl                                                                                             317 OneTo
   130         0 @Base/range.jl                                                                                             326 OneTo
     4         0 @Base/range.jl                                                                                             280 UnitRange
     6         6 @Base/range.jl                                                                                             631 _in_unit_range
     1         1 @Base/range.jl                                                                                               ? getindex
   484         0 @Base/range.jl                                                                                             645 getindex
    12         6 @Base/range.jl                                                                                             646 getindex
     9         0 @Base/range.jl                                                                                            1042 in
  1021         0 @Base/range.jl                                                                                             503 isempty
  1303       282 @Base/range.jl                                                                                             620 iterate
  5524       359 @Base/range.jl                                                                                             624 iterate
     7         0 @Base/range.jl                                                                                             570 length
     4         0 @Base/range.jl                                                                                              91 range##kw
     4         0 @Base/range.jl                                                                                             285 unitrange_last
     4         4 @Base/reduce.jl                                                                                              ? _any
     7         0 @Base/reduce.jl                                                                                            781 _any
    27        27 @Base/reduce.jl                                                                                            784 _any
    19         0 @Base/reduce.jl                                                                                            785 _any
    57         0 @Base/reducedim.jl                                                                                         729 #any#636
    57         0 @Base/reducedim.jl                                                                                         729 any
     7         0 @Base/refpointer.jl                                                                                         96 Ref
     7         7 @Base/refvalue.jl                                                                                            8 RefValue
    13        13 @Base/simdloop.jl                                                                                            ? macro expansion
    26         1 @Base/simdloop.jl                                                                                           75 macro expansion
    72         0 @Base/simdloop.jl                                                                                           76 macro expansion
   300         0 @Base/simdloop.jl                                                                                           77 macro expansion
    12         0 @Base/simdloop.jl                                                                                           78 macro expansion
    72         0 @Base/simdloop.jl                                                                                           54 simd_index
   985         0 @Base/sort.jl                                                                                              326 #searchsortedlast#5
   438         0 @Base/sort.jl                                                                                              169 midpoint
    10         0 @Base/sort.jl                                                                                              197 searchsortedlast
   217         0 @Base/sort.jl                                                                                              198 searchsortedlast
   438         0 @Base/sort.jl                                                                                              199 searchsortedlast
   132         0 @Base/sort.jl                                                                                              200 searchsortedlast
   985         0 @Base/sort.jl                                                                                              324 searchsortedlast
   985         0 @Base/sort.jl                                                                                              326 searchsortedlast
    18         0 @Base/strings/io.jl                                                                                         46 print(::Base.GenericIOBuffer{Array{UInt8,1}}, ::String, ::String, ::Vararg{String,N} where N)
     1         1 @Base/strings/io.jl                                                                                         51 print(::Base.GenericIOBuffer{Array{UInt8,1}}, ::String, ::String, ::Vararg{String,N} where N)
   572         0 @Base/strings/io.jl                                                                                        185 print
   572        29 @Base/strings/io.jl                                                                                        183 write
     1         0 @Base/strings/string.jl                                                                                    108 ==(::String, ::String)
     4         4 @Base/strings/string.jl                                                                                     39 String
    16        16 @Base/strings/string.jl                                                                                     60 _string_n
    42        42 @Base/strings/string.jl                                                                                     85 sizeof
    97        97 @Base/strings/string.jl                                                                                     71 unsafe_wrap
   101         0 @Base/subarray.jl                                                                                          256 getindex
   995         0 @Base/subarray.jl                                                                                          257 getindex
    89         0 @Base/subarray.jl                                                                                          276 getindex
     1         0 @Base/subarray.jl                                                                                          284 getindex
   489         0 @Base/subarray.jl                                                                                          235 reindex
     2         0 @Base/subarray.jl                                                                                          297 setindex!
  1745         5 @Base/subarray.jl                                                                                          298 setindex!
   118         0 @Base/subarray.jl                                                                                          310 setindex!
202800         0 @Base/task.jl                                                                                              356 (::ThreadPools.var"#56#58"{typeof(ThreadPools._default_handler),ThreadPools.QueuePool})()
     1         0 @Base/task.jl                                                                                              356 (::ThreadPools.var"#64#66"{ThreadPools.QueuePool,Array{Int64,1},ThreadPools.var"#63#65"{MendelImpute.var"#32#37"{Array{HaplotypeMosaicPair,1},Array{Union{Missing, UInt8},2},MendelImpute.CompressedHaplotypes,Array{Array{Int32,1},1},Array{Array{Int32,1},1},Int64,Int64,Int64,Array{Array{Int32,1},1},Array{Array{Int32,1},1},Array{Array{Float64,1},1},Progress}}})()
     1         1 @Base/task.jl                                                                                              233 _wait(::Task)
     1         1 @Base/task.jl                                                                                              120 current_task
     1         0 @Base/task.jl                                                                                              535 enq_work(::Task)
     1         1 @Base/task.jl                                                                                              494 popfirst!(::Base.InvasiveLinkedListSynchronized{Task})
312557    312557 @Base/task.jl                                                                                              704 poptask(::Base.InvasiveLinkedListSynchronized{Task})
     1         0 @Base/task.jl                                                                                              552 schedule
     1         0 @Base/task.jl                                                                                              425 task_done_hook(::Task)
109352         0 @Base/task.jl                                                                                              442 task_done_hook(::Task)
     2         2 @Base/task.jl                                                                                              647 try_yieldto(::typeof(Base.ensure_rescheduled))
     3         3 @Base/task.jl                                                                                              656 try_yieldto(::typeof(Base.ensure_rescheduled))
312557         0 @Base/task.jl                                                                                              712 wait
     5         0 @Base/task.jl                                                                                              713 wait
     1         0 @Base/task.jl                                                                                              714 wait
  3168         0 @Base/threadingconstructs.jl                                                                               169 (::JLSO.var"#33#35"{JLSOFile,Dict{Symbol,Any},Symbol})()
     1         1 @Base/threadingconstructs.jl                                                                                10 threadid
    17         0 @Base/timing.jl                                                                                            232 macro expansion
381294         0 @Base/timing.jl                                                                                            233 macro expansion
     9         0 @Base/timing.jl                                                                                            234 macro expansion
     1         1 @Base/tuple.jl                                                                                              24 getindex
     1         0 @Base/tuple.jl                                                                                              61 iterate
     3         3 @Base/tuple.jl                                                                                              19 length
    90         0 @Base/tuple.jl                                                                                             157 map
    40         0 @Base/tuple.jl                                                                                             158 map
   533       533 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/blas.jl           1374 gemm!(::Char, ::Char, ::Float32, ::Array{Float32,2}, ::SubArray{Float32,2,Array{Float32,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true}, ::Float32, ::SubArray{Float32,2,Array{Float32,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true})
   576       576 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/blas.jl           1595 syrk!(::Char, ::Char, ::Float32, ::SubArray{Float32,2,Array{Float32,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true}, ::Float32, ::SubArray{Float32,2,Array{Float32,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false})
     2         2 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/matmul.jl            ? copytri!
  1850         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/matmul.jl          436 copytri!
     1         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/matmul.jl          439 copytri!
  1847         1 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/matmul.jl          440 copytri!
   533         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/matmul.jl          597 gemm_wrapper!(::SubArray{Float32,2,Array{Float32,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true}, ::Char, ::Char, ::Array{Float32,2}, ::SubArray{Float32,2,Array{Float32,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true}, ::LinearAlgebra.MulAddMul{true,true,Bool,Bool})
  2961         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/matmul.jl          208 mul!
  2428         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/matmul.jl          308 mul!
   533         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/matmul.jl          310 mul!
  2428         2 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/matmul.jl          508 syrk_wrapper!(::SubArray{Float32,2,Array{Float32,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false}, ::Char, ::SubArray{Float32,2,Array{Float32,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true}, ::Bool, ::Bool)
     1         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Pkg/ext/TOML/src/TOML.jl              38 parse(::Base.GenericIOBuffer{Array{UInt8,1}})
     1         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Pkg/ext/TOML/src/TOML.jl              44 parse(::String)
     1         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Pkg/ext/TOML/src/TOML.jl              21 table2dict(::Pkg.TOML.Table)
     1         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Pkg/ext/TOML/src/TOML.jl              25 table2dict(::Pkg.TOML.Table)
  3168         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   760 deserialize(::TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}})
     2         2 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   772 deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
  3168         3 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   773 deserialize
  3168         3 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   773 deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
     3         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1334 deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::DataType)
   148         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1338 deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::DataType)
  3168         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1350 deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::DataType)
     1         1 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1356 deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::DataType)
  1452         1 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1373 deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Type{Dict{Int32,Array{Int32,1}}})
     4         4 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1100 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
     1         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1101 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
    27         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1102 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
     3         3 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1103 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
    14         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1105 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
     2         2 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1109 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
   483       202 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1111 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
   530         1 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1112 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
  1085        11 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1113 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
   166       144 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1142 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
   721         1 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1143 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
  3163         2 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1145 deserialize_array(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
     9         3 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   778 deserialize_cycle
     2         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1362 deserialize_dict(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Type{Dict{Int32,Array{Int32,1}}})
     6         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1363 deserialize_dict(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Type{Dict{Int32,Array{Int32,1}}})
    27         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1365 deserialize_dict(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Type{Dict{Int32,Array{Int32,1}}})
  1393         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1366 deserialize_dict(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Type{Dict{Int32,Array{Int32,1}}})
    23         9 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1367 deserialize_dict(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Type{Dict{Int32,Array{Int32,1}}})
     5         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1151 deserialize_fillarray!(::Array{String,1}, ::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
  3163        11 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1153 deserialize_fillarray!(::Array{MendelImpute.CompressedWindow,1}, ::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}})
     9         9 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1321 deserialize_string
     8         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl  1322 deserialize_string
     2         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   794 gettable
    21        21 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   809 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
     1         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   810 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
    12         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   811 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
     3         1 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   819 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
  3168         4 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   824 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
     2         1 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   833 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
  3168         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   837 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
     1         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   841 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
  1606         3 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   842 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
     4         2 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   851 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
    22         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   857 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
  3168         0 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   879 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
    16         3 /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Serialization/src/Serialization.jl   889 handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
  1993         0 @Automa/src/codegen.jl                                                                                     247 macro expansion
     8         8 @Automa/src/codegen.jl                                                                                     248 macro expansion
     2         0 @Automa/src/codegen.jl                                                                                     253 macro expansion
     1         0 @Automa/src/codegen.jl                                                                                     254 macro expansion
    16         0 @Automa/src/codegen.jl                                                                                     275 macro expansion
    29        20 @Automa/src/codegen.jl                                                                                     276 macro expansion
     1         0 @Automa/src/codegen.jl                                                                                     425 macro expansion
    16         0 @Automa/src/memory.jl                                                                                       57 getindex
     1         0 @BSON/src/read.jl                                                                                          104 load
     1         0 @BSON/src/read.jl                                                                                          101 parse
     1         0 @BSON/src/read.jl                                                                                           41 parse_array(::IOStream)
     1         0 @BSON/src/read.jl                                                                                           53 parse_doc(::IOStream)
     1         0 @BSON/src/read.jl                                                                                           15 parse_tag(::IOStream, ::BSON.BSONType)
     1         0 @BSON/src/read.jl                                                                                           17 parse_tag(::IOStream, ::BSON.BSONType)
     1         0 @BSON/src/read.jl                                                                                           26 parse_tag(::IOStream, ::BSON.BSONType)
     2         2 /home/biona001/.julia/packages/BioCore/YBJvb/src/Exceptions.jl                                              22 missingerror(::Symbol)
     1         0 /home/biona001/.julia/packages/BioCore/YBJvb/src/IO.jl                                                      34 eof(::GeneticVariation.VCF.Reader)
     2         0 /home/biona001/.julia/packages/BioCore/YBJvb/src/ReaderHelper.jl                                           147 _read!(::GeneticVariation.VCF.Reader, ::BioCore.Ragel.State{BufferedStreams.BufferedInputStream{TranscodingStreams.TranscodingStream{GzipDecompressor,IOStream}}}, ::GeneticVariation.VCF.Record)
     1         1 /home/biona001/.julia/packages/BioCore/YBJvb/src/ReaderHelper.jl                                           151 _read!(::GeneticVariation.VCF.Reader, ::BioCore.Ragel.State{BufferedStreams.BufferedInputStream{TranscodingStreams.TranscodingStream{GzipDecompressor,IOStream}}}, ::GeneticVariation.VCF.Record)
  2059         0 /home/biona001/.julia/packages/BioCore/YBJvb/src/ReaderHelper.jl                                           156 _read!(::GeneticVariation.VCF.Reader, ::BioCore.Ragel.State{BufferedStreams.BufferedInputStream{TranscodingStreams.TranscodingStream{GzipDecompressor,IOStream}}}, ::GeneticVariation.VCF.Record)
   124         0 /home/biona001/.julia/packages/BioCore/YBJvb/src/ReaderHelper.jl                                           172 _read!(::GeneticVariation.VCF.Reader, ::BioCore.Ragel.State{BufferedStreams.BufferedInputStream{TranscodingStreams.TranscodingStream{GzipDecompressor,IOStream}}}, ::GeneticVariation.VCF.Record)
     1         0 /home/biona001/.julia/packages/BioCore/YBJvb/src/ReaderHelper.jl                                            98 _readheader!(::GeneticVariation.VCF.Reader, ::BioCore.Ragel.State{BufferedStreams.BufferedInputStream{TranscodingStreams.TranscodingStream{GzipDecompressor,IOStream}}})
  2211        24 /home/biona001/.julia/packages/BioCore/YBJvb/src/ReaderHelper.jl                                           134 read!(::GeneticVariation.VCF.Reader, ::GeneticVariation.VCF.Record)
     1         0 /home/biona001/.julia/packages/BioCore/YBJvb/src/ReaderHelper.jl                                            80 readheader!(::GeneticVariation.VCF.Reader)
     5         0 /home/biona001/.julia/packages/BioCore/YBJvb/src/ReaderHelper.jl                                            36 resize_and_copy!
     4         0 /home/biona001/.julia/packages/BioCore/YBJvb/src/ReaderHelper.jl                                            44 resize_and_copy!
   124         0 /home/biona001/.julia/packages/BufferedStreams/hCA7W/src/bufferedinputstream.jl                             70 fillbuffer!(::BufferedStreams.BufferedInputStream{TranscodingStreams.TranscodingStream{GzipDecompressor,IOStream}})
   124         0 /home/biona001/.julia/packages/BufferedStreams/hCA7W/src/io.jl                                               5 readbytes!
  3331         0 @CodecZlib/src/compression.jl                                                                              175 process
  1692         0 @CodecZlib/src/decompression.jl                                                                            163 process
  3331      3331 @CodecZlib/src/libz.jl                                                                                      77 deflate!
  1692      1692 @CodecZlib/src/libz.jl                                                                                      93 inflate!
